0.0203507	3600
0.0203507	3600
0.0284128	7200
0.0445584	10800
0.0540608	14400
0.0673981	18000
0.0750842	21600
0.0886202	25200
0.0985405	28800
0.109026	32400
0.119954	36000
0.128576	39600
0.139599	43200
0.149549	46800
0.158371	50400
0.169757	54000
0.180104	57600
0.189455	61200
0.200288	64800
0.210661	68400
0.219462	72000
0.230268	75600
0.240165	79200
0.24959	82800
0.260198	86400
0.269818	90000
0.279309	93600
0.288179	97200
0.299448	100800
0.308841	104400
0.317183	108000
0.328244	111600
0.337976	115200
0.34681	118800
0.354972	122400
0.365657	126000
0.374523	129600
0.382653	133200
0.392217	136800
0.401629	140400
0.410158	144000
0.417955	147600
0.427173	151200
0.435921	154800
0.443952	158400
0.452172	162000
0.461109	165600
0.469548	169200
0.477592	172800
0.485063	176400
0.493822	180000
0.501246	183600
0.509398	187200
0.517107	190800
0.524884	194400
0.533143	198000
0.539287	201600
0.547699	205200
0.555552	208800
0.562546	212400
0.569221	216000
0.576521	219600
0.584047	223200
0.591275	226800
0.598144	230400
0.604513	234000
0.612629	237600
0.619146	241200
0.624946	244800
0.630873	248400
0.638215	252000
0.64511	255600
0.65162	259200
0.657688	262800
0.663539	266400
0.669827	270000
0.675754	273600
0.681801	277200
0.686552	280800
0.693705	284400
0.699506	288000
